,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
2638,DYNC2H1,0.15723476080890184,0.25012290438698387,0.15723476080890184,0.027544498153197705,0,2,0,8,11,1,0,0,5,32,0,1,3,0,95,0,1,3,2,91
2639,DYNC2LI1,0.30685754829322676,0.4974985522930728,0.30685754829322676,0.11226113594549558,1,0,4,0,20,0,2,2,3,63,1,0,2,5,21,0,2,1,7,6
2640,DYNLL1,0.03309695483570541,0.04795010845779876,0.03309695483570541,0.0015631886354219304,0,2,2,5,51,1,0,3,8,8,0,1,1,3,96,0,1,3,5,43
2641,DYNLT3,0.12587835113902313,0.20499069108289106,0.12587835113902313,0.01983464066126428,0,2,2,1,95,1,0,3,5,28,0,1,1,6,88,0,1,3,5,2
2642,DYRK1A,0.012614276296607552,0.019353380613741922,0.012614276296607552,0.000161169816665363,0,2,2,5,58,1,0,3,8,56,0,1,1,3,98,0,1,3,5,43
2643,DYRK1B,0.1729368364303146,0.264509896849735,0.1729368364303146,0.033271555646266715,0,2,0,8,27,1,0,0,5,4,0,1,3,0,32,0,1,3,2,95
2644,DYRK2,0.1719318509112383,0.26417886894574005,0.1719318509112383,0.02557660408755058,0,2,0,8,27,1,0,0,5,4,0,1,3,0,32,0,1,3,5,91
2645,DYRK3,0.2738720499845163,0.4343225870622024,0.2738720499845163,0.07875115513374908,0,0,4,9,78,1,2,2,9,96,0,0,2,9,22,0,1,1,0,98
2646,DYSF,0.2036669356782613,0.3325720216451838,0.2036669356782613,0.0157153778927005,0,2,0,4,29,1,2,0,0,62,0,1,3,8,27,0,1,3,5,71
2647,DZIP1,0.19212082154372748,0.31369776808189287,0.19212082154372748,0.04698204252874583,0,2,0,4,7,1,0,0,0,89,0,1,3,8,70,0,1,3,2,89
2648,DZIP1L,0.3377705690365623,0.5090054493669844,0.3377705690365623,0.1514084875874635,1,0,4,0,41,0,2,2,3,6,1,0,2,5,19,0,2,4,1,60
2649,DZIP3,0.08243744624751441,0.13318586789554523,0.08243744624751441,0.008032575321740842,0,2,2,5,9,1,0,3,2,98,0,1,1,6,97,0,1,3,5,45
2650,E2F1,0.5628766393991133,0.8714405315755449,0.5628766393991133,0.35097905806174234,1,1,3,3,2,0,1,4,6,50,1,2,0,7,28,1,0,2,6,75
2651,E2F2,0.16454774925742183,0.24263994914892786,0.16454774925742183,0.03547285049504434,0,2,0,8,52,1,0,0,5,67,0,1,3,0,26,0,1,3,2,9
2652,E2F3,0.26680246321331685,0.3873071616706384,0.26680246321331685,0.08203768236289444,0,0,4,9,99,1,2,2,9,84,0,0,2,9,90,0,1,1,0,67
2653,E2F4,0.24114960246588255,0.38861195998971665,0.24114960246588255,0.07458173673030655,0,0,0,4,93,1,2,2,9,84,0,0,2,9,7,0,1,1,0,29
2654,E2F6,0.3112259771979766,0.5019882078705609,0.3112259771979766,0.11263605476844019,1,0,4,0,63,0,2,2,3,63,1,0,2,5,21,0,2,1,7,6
2655,E2F7,0.24484471523861867,0.3920986301838831,0.24484471523861867,0.07765231785285265,0,0,4,9,93,1,2,2,9,2,0,0,2,9,49,0,1,1,0,98
2656,E2F8,0.017003815390223186,0.0260581716892396,0.017003815390223186,0.0003809023414994561,0,2,2,5,58,1,0,3,8,56,0,1,1,3,52,0,1,3,5,43
2657,E4F1,0.2936851705544225,0.42060666910064504,0.2936851705544225,0.11103096089519238,1,0,4,9,45,1,2,2,9,26,1,0,2,5,43,0,2,1,7,86
2658,EAF1,0.24284928557672741,0.39634560840111577,0.24284928557672741,0.07540785064809674,0,0,4,9,93,1,2,2,9,2,0,0,2,9,49,0,1,1,0,29
2659,EAPP,0.09350306187029588,0.145060263390572,0.09350306187029588,0.010855682204580108,0,2,2,1,83,1,0,3,2,77,0,1,1,6,2,0,1,3,5,10
2660,EARS2,0.35158131287646804,0.5351773978955925,0.35158131287646804,0.15692479473491516,1,0,4,0,48,0,2,2,3,36,1,0,2,5,75,1,2,4,1,66
2661,EBAG9,0.10964254197190604,0.16176195289977155,0.10964254197190604,0.01370333654966116,0,2,2,1,40,1,0,3,2,30,0,1,1,6,64,0,1,3,5,71
2662,EBF1,0.27878392113102174,0.44525140363381727,0.27878392113102174,0.07089733064668513,0,0,4,9,78,0,2,2,9,12,0,0,2,9,12,0,1,1,0,92
2663,EBF3,0.1769962373089234,0.2881047560475605,0.1769962373089234,0.0293540844692205,0,2,0,8,50,1,0,0,0,93,0,1,3,0,81,0,1,3,2,61
2664,EBF4,0.2920865786034241,0.47189365776726366,0.2920865786034241,0.09334749315032831,1,0,4,9,45,0,2,2,3,45,1,0,2,5,43,0,1,1,0,32
2665,EBNA1BP2,0.15019365014216912,0.23832701280104487,0.15019365014216912,0.028064438986155404,0,2,0,8,84,1,0,0,5,67,0,1,3,0,5,0,1,3,2,61
2666,EBPL,0.1461207496427361,0.23687314313014135,0.1461207496427361,0.028228996677105433,0,2,0,8,32,1,0,0,5,67,0,1,3,0,54,0,1,3,2,61
2667,ECD,0.052875086480043264,0.0813675972004679,0.052875086480043264,0.003761718438504591,0,2,2,5,57,1,0,3,8,69,0,1,1,3,84,0,1,3,5,13
2668,ECE1,0.4927816166410659,0.7883941755452666,0.4927816166410659,0.21726609704708755,1,1,1,2,13,0,1,1,1,27,1,2,4,1,17,1,2,4,9,48
2669,ECE2,0.144940466829101,0.22435495538943817,0.144940466829101,0.029372728574462714,0,2,0,8,32,1,0,0,5,9,0,1,3,0,83,0,1,3,2,61
