APLNR	201	401	2798	26	68	222
APLP2	1369	1409	3588	1250	1475	3791
APOA1BP	189	177	448	399	428	504
APOB48R	64	85	677	52	187	140
APOBEC3C	107	60	217	73	175	164
APOD	322	273	503	0	23	76
APOL1	123.25	117.75	373	113	376.25	533
APOL2	164	134	846	67	162	664.5
APOL3	222.833	88.5	421.833	13.8333	69.6667	162.667
APOL6	803	686	1255	186	682	1543
APOLD1	480	306	1043	151	140	356
APOOL	129	186	396	51	273	295
APP	2048.57	2754.57	7205	3022.29	3831.14	11360.9
APPBP2	428	776	1311	539	395	1160
APPL1	938	1261	2158	327	620	728
APPL2	327	559	772	404	609	683
APRT	269	323	872.5	686	801	613
APTX	169	141.5	471.25	76.25	430.75	339.25
AQP1	1777	944	4317	227	220	846
AQP3	10649	6733	5987	1837	1966	6461
AQR	580	704	1087	622	738	1064
ARAP1	963.667	1048.33	4322	660.667	1271.33	1835.33
ARAP3	148	171	1296	411	638	343
ARCN1	994	868	2400	530	1196	3196
ARF1	2292.25	1833.75	5663.5	2859	3639.75	6446.75
ARF3	2053	1638	3577	1181	3257	5193
ARF4	342	413	928	370	540	1997
ARF5	340	518	946	745	1211	1182
ARF6	1116	1332	1661	1124	1281	1542
ARFGAP1	523	537	2126	481	1161	1545.5
ARFGAP2	911	1085	1998	758	1026	1703
ARFGAP3	170	186	629	185	242	584
ARFGEF1	1060	1385	2806	867	2056	5536
ARFGEF2	1409	1649	3236	1979	3022	3883
ARFIP1	300.333	413.333	600	205.667	463.667	921.333
ARFIP2	358	303	642	204	291	694
ARFRP1	229.5	185.5	780.5	198	422	637.5
ARG2	74	106	106	20	203	46
ARGLU1	936	1434	1923	958	814	1003
ARHGAP1	976	987	2601	481	1267	2198
ARHGAP10	255	449	521	99	272	181
ARHGAP11A	126	145	249	435	297	343
ARHGAP12	365	641	883	384	611	795
ARHGAP17	477	598.5	1526.5	520.5	541.5	912.5
ARHGAP18	114	213	595	82	112	277
ARHGAP19	174	200	408	183	557	348
ARHGAP20	187	380	234	15	74	61
ARHGAP21	199	248	509	149	259	627
ARHGAP24	78	183.333	298.667	44.3333	173.667	156.333
ARHGAP25	108.5	146.5	444.5	27.5	122.5	211
ARHGAP26	329.5	361.5	1230	173	181	282.5
ARHGAP27	932	1087	1968	546	826	900
ARHGAP28	50	105	369	252	376	154
ARHGAP29	340	416	1500	111	147	390
ARHGAP30	624	601	1893	220	415	559
ARHGAP4	222	326	1538	160	307	268
ARHGAP5	1387	1787	2118	805	1929	2305
ARHGAP8	52	66	23	107	311	117
ARHGAP9	42.5	59.5	402	53	87	106.5
ARHGDIB	280	251	1012	68	193	473
ARHGEF1	471.333	391.667	2241.67	456.667	767.667	980.667
ARHGEF10	282	321	1104	163	381	711
ARHGEF10L	1223.5	1321.5	2300.5	754.5	741	650.5
ARHGEF11	813	788.5	1988.5	552	805	1233.5
ARHGEF12	2466	2660	5779	1035	1555	4328
ARHGEF16	231	233	177	758	669	471
ARHGEF17	535	743	3686	576	715	1381
ARHGEF18	447.5	340.5	981	360.5	459.5	533
ARHGEF19	198	309	267	327	359	425
ARHGEF2	442	412	2230	383	734	730
ARHGEF3	337	396.667	585.333	169.667	372.333	302.667
